repo_id,Total_number_of_contributors
28613203,9
28613211,1
28613611,1
28613718,1
28613776,1
28614339,1
28615103,3
28615167,1
28615195,1
28615868,1
28616049,1
28616088,1
28616410,2
28616861,1
28616939,1
28617601,1
28617774,2
28618969,1
28619818,1
28620032,1
28620211,2
28620299,8
28620312,2
28620734,2
28621069,1
28621174,2
28623192,2
28625031,1
28625840,1
28625867,1
28625970,1
28631940,3
28631947,2
28632361,1
28632608,2
28633224,6
28633342,2
28633990,2
28634007,1
28634222,1
28634384,1
28634424,1
28635182,2
28635375,1
28635402,5
28635513,2
28635890,2
28635941,1
28636657,1
28637357,1
28638965,1
28639200,5
28639483,1
28639871,1
28639904,1
28639950,1
28640290,3
28640662,9
28641135,1
28641703,1
28641769,1
28642034,1
28642465,2
28642665,1
28642721,1
28642919,1
28643047,1
28643264,1
28643363,1
28643519,2
28643777,1
28644168,1
28644255,1
28644664,3
28644710,1
28644972,2
28645077,1
28645091,1
28645199,1
28645692,2
28645826,2
28645832,1
28646094,1
28646347,1
28646555,1
28646975,2
28647002,1
28647308,3
28647496,2
28647528,5
28647685,1
28647997,2
28648040,2
28648343,1
28648528,12
28648586,2
28648808,2
28648815,2
28648852,5
28648883,1
28649126,2
28649235,1
28649263,1
28649440,1
28649464,1
28649581,1
28649593,1
28649829,5
28650038,20
28650418,4
28650454,1
28650471,1
28650485,1
28650616,1
28650635,1
28650641,1
28650841,1
28651176,3
28651298,2
28651421,2
28651515,1
28652857,2
28652876,3
28653103,1
28653107,1
28653140,1
28653186,1
28653200,1
28653536,1
28653566,4
28653599,1
28653992,2
28654233,1
28654239,7
28654260,1
28654334,1
28654546,1
28654719,1
28654922,1
28655105,1
28655113,1
28655268,1
28655609,1
28656308,1
28656501,1
28656590,1
28656871,1
28657214,3
28657371,2
28657383,1
28657466,1
28657642,2
28657737,2
28657751,18
28657936,1
28657952,3
28658120,1
28658682,3
28659201,1
28659820,2
28660389,1
28660671,1
28660708,2
28660912,1
28661023,1
28661304,1
28661427,2
28662138,4
28662515,2
28662798,1
28663198,1
28663473,1
28663515,1
28664499,1
28664614,4
28664750,4
28665128,1
28665140,1
28665709,2
28665748,1
28665759,3
28665904,1
28666633,3
28666777,1
28666839,1
28666884,2
28666898,2
28666900,2
28667121,1
28667487,2
28667688,1
28667691,1
28667818,1
28667976,1
28667990,1
28668128,2
28668433,1
28669115,6
28669146,4
28669435,18
28670161,2
28670185,2
28670194,3
28670264,3
28670488,1
28670845,5
28670957,2
28671124,4
28671165,2
28671192,1
28671245,2
28671282,2
28671397,1
28671399,1
28671402,2
28671681,1
28671701,1
28671714,1
28671838,1
28671919,1
28672074,3
28672105,2
28672165,2
28672207,1
28672247,2
28672516,1
28672554,2
28672670,1
28672989,1
28673012,1
28673271,6
28673392,1
28673499,2
28673695,1
28673700,2
28673837,3
28673850,1
28673858,1
28673871,1
28673876,2
28673882,1
28673893,1
28673915,1
28673982,1
28674069,1
28674076,2
28674110,1
28674120,1
28674151,1
28674164,1
28674177,4
28674263,1
28674338,1
28674349,1
28674489,1
28674491,2
28674532,1
28674603,1
28674650,2
28674656,2
28674787,3
28674794,1
28674828,1
28674886,1
28674894,4
28674974,2
28674978,1
28675026,1
28675054,1
28675057,1
28675131,1
28675157,9
28675188,1
28675197,1
28675268,1
28675293,1
28675308,1
28675414,1
28675501,8
28675537,1
28675554,1
28675638,1
28675656,1
28675663,2
28675693,2
28675707,3
28675709,1
28675712,1
28675713,1
28675866,3
